chat_id,n_turns,mean_soft_jaccard_llm,mean_soft_jaccard_human_baseline
alexia,7,0.4595404595404595,0.4264885910811387
ani,8,0.3783878767431399,0.3778825545369663
claire,7,0.3063492063492063,0.3052012471655329
layla,8,0.4583333333333333,0.4230790043290043
thomas,6,0.586794550478761,0.5103796143656825
