question,mean,median,std,min,max,ci_low,ci_high,n_participants,t_statistic,p_value
gesture,2.5200000000000005,2.4,0.5215361924162119,2.0,3.4,1.872427286116518,3.167572713883483,5,-2.057983021710104,0.9456495243375381
voice,2.44,2.2,0.7797435475847171,1.6,3.6,1.4718205091323713,3.408179490867629,5,-1.6059101370939326,0.9082165699723617
